numero,type,voie,code,commune
7,RUE,DES METIERS,44400,REZE
22,RUE,DE BEAULIEU,44340,BOUGUENAIS
57,RUE,DU PLANTY,44340,BOUGUENAIS
30,RUE,DES SENCIVES,44340,BOUGUENAIS
10,RUE,DE LA HEE,44120,VERTOU
25,RTE,DU LAC,44860,SAINT-AIGNAN-GRANDLIEU
25,RTE,DU LAC,44860,SAINT-AIGNAN-GRANDLIEU
13,RUE,DES BOUTONS D OR,44700,ORVAULT
9001,,L ETANG DE LA BAROSSIERE,44700,ORVAULT
9,RUE,DES CARRIERES,44470,CARQUEFOU
5,RUE,MAURICE MONNIER,44400,REZE
16,RUE,THEOPHILE GAUTIER,44240,CHAPELLE-SUR-ERDRE (LA)
1,RUE,DES ACACIAS,44115,BASSE-GOULAINE
155,RUE,DES ROULEAUX,44115,BASSE-GOULAINE
6,RUE,MADELEINE RENAUD,44240,CHAPELLE-SUR-ERDRE (LA)
16,RUE,DE LA CHAUVAIS,44240,CHAPELLE-SUR-ERDRE (LA)
16,RUE,DE LA CHAUVAIS,44240,CHAPELLE-SUR-ERDRE (LA)
39,RUE,DE LA PIERRE,44340,BOUGUENAIS
5,RUE,DE L'ILE D'AIX,44980,SAINTE-LUCE-SUR-LOIRE
11,RUE,DES TROIS MATS,44340,BOUGUENAIS
8,,ALL DES WILLIAMS,44120,VERTOU
76,RUE,LOUIS GAUDIN,44980,SAINTE-LUCE-SUR-LOIRE
4,AV,DES PERRIERES,44240,CHAPELLE-SUR-ERDRE (LA)
153,RUE,DU BOIS BRULE,44115,BASSE-GOULAINE
153,RUE,DU BOIS BRULE,44115,BASSE-GOULAINE
15,RTE,DE THOUARE,44980,SAINTE-LUCE-SUR-LOIRE
15,RUE,DE LA VALLEE,44700,ORVAULT
5,RUE,DES AMARANTES,44700,ORVAULT
13,IMP,DU MERCANTOUR,44470,THOUARE-SUR-LOIRE
5,CHEM,DE L'AUVELON,44830,BOUAYE
17,RUE,DE LA CADRANIERE,44470,CARQUEFOU
1,RUE,DE L AVENEAU,44240,CHAPELLE-SUR-ERDRE (LA)
14,RUE,D ANDROMEDE,44700,ORVAULT
8,RUE,JEAN JOUNEAU,44400,REZE
26,RUE,RAOUL DUFY,44240,CHAPELLE-SUR-ERDRE (LA)
27,RUE,DU CYGNE,44700,ORVAULT
2,RUE,DE LA GAGNERIE,44980,SAINTE-LUCE-SUR-LOIRE
27,RUE,DES COCCINELLES,44470,CARQUEFOU
7,SQ,CEZANNE,44470,THOUARE-SUR-LOIRE
11,IMP,DES  CASSARDS,44120,VERTOU
11,IMP,DES  CASSARDS,44120,VERTOU
1317,RUE,DES BUISSONS,44470,THOUARE-SUR-LOIRE
16,RUE,DES SIRENES,44470,CARQUEFOU
6,ALL,DES JONCS,44240,CHAPELLE-SUR-ERDRE (LA)
37,RUE,DE LA ROUSSELIERE,44120,VERTOU
6,RUE,LOUIS ARAGON,44400,REZE
14,RUE,DE L ILETTE,44400,REZE
22,RUE,F R DE CHATEAUBRIAND,44470,CARQUEFOU
21,AV,DES FAUVETTES,44470,CARQUEFOU
55,RUE,DES VERTS PRES,44700,ORVAULT
4,ALL,DU LONG PRE,44240,CHAPELLE-SUR-ERDRE (LA)
63,RUE,DE L AERODROME,44400,REZE
63,RUE,DE L AERODROME,44400,REZE
138,RUE,JEAN FRAIX,44400,REZE
14,RUE,DES MONTGOLFIERES,44120,VERTOU
19,RTE,DE LA GERGAUDIERE,44240,CHAPELLE-SUR-ERDRE (LA)
53,RUE,DE LA ROUSSELIERE,44120,VERTOU
16,BD,AMPERE,44470,CARQUEFOU
9,RUE,DE LA CORAN,44400,REZE
7,AV,DES PRAIRIES,44240,CHAPELLE-SUR-ERDRE (LA)
7,AV,DES PRAIRIES,44240,CHAPELLE-SUR-ERDRE (LA)
7,AV,DES PRAIRIES,44240,CHAPELLE-SUR-ERDRE (LA)
7,AV,DES PRAIRIES,44240,CHAPELLE-SUR-ERDRE (LA)
7,RUE,DE LA GRAND HAIE,44400,REZE
2,,LA BAUCHE,44830,BRAINS
9004,,LES HERYS,44120,VERTOU
1,CHE,DU PUITS,44340,BOUGUENAIS
1,CHE,DU PUITS,44340,BOUGUENAIS
8,AV,DES PERRIERES,44240,CHAPELLE-SUR-ERDRE (LA)
21,AV,DE LA CHATAIGNERAIE,44470,THOUARE-SUR-LOIRE
85,AV,DE LA PATOUILLERIE,44700,ORVAULT
13,RUE,GEORGES POMPIDOU,44470,CARQUEFOU
73,RUE,GEORGES BERTHOME,44400,REZE
15,RUE,DES GRILLONS,44700,ORVAULT
18,RUE,DES BUISSONNETS,44880,SAUTRON
18,RUE,DES BUISSONNETS,44880,SAUTRON
9,IMP,DU HAUT CHEMIN,44120,VERTOU
64,RTE,DE LA HAYE FOUASSIERE,44120,VERTOU
228,RUE,DE LA BOUGRIERE,44980,SAINTE-LUCE-SUR-LOIRE
13,RUE,DE BEAUSOLEIL,44980,SAINTE-LUCE-SUR-LOIRE
27,RUE,DE MAZAIRE,44240,CHAPELLE-SUR-ERDRE (LA)
27,RUE,DE MAZAIRE,44240,CHAPELLE-SUR-ERDRE (LA)
9,RUE,GEORGES BRASSENS,44120,VERTOU
14,RUE,ANTOINE DE ST EXUPERY,44240,CHAPELLE-SUR-ERDRE (LA)
9,RUE,DE L ILE DE FRANCE,44120,VERTOU
8,RTE,DES MARES,44830,BOUAYE
11,CHE,DU PATIS DE LA CROIX,44120,VERTOU
14,CHE,DES MARAIS DU CENS,44700,ORVAULT
9,RUE,MARC CHAGALL,44400,REZE
16,RUE,DU TENANT,44120,VERTOU
25,RUE,DE LA CAVE,44840,SORINIERES (LES)
5,PL,DES FRAICHES,44120,VERTOU
22,RUE,DES CHALONNIERES,44400,REZE
9,ALL,SALVADOR DALI,44700,ORVAULT
5229,,LE PAS RICHE,44470,MAUVES-SUR-LOIRE
26,AV,DE LA VOIE LACTEE,44700,ORVAULT
14,RUE,DES SAULES,44710,SAINT-LEGER-LES-VIGNES
2,IMP,DES PAPIROTTES,44830,BOUAYE
7,CHE,DE LA CENDRIE,44340,BOUGUENAIS
20,RUE,PASTEUR,44340,BOUGUENAIS
20,RUE,PASTEUR,44340,BOUGUENAIS
107,AV,DE LA PATOUILLERIE,44700,ORVAULT
14,RUE,DES SAULES,44710,SAINT-LEGER-LES-VIGNES
2,RUE,DU MOULIN LAHEUX,44340,BOUGUENAIS
13,RUE,DE LA HERRIERE,44470,THOUARE-SUR-LOIRE
8,RUE,DU LUXEMBOURG,44980,SAINTE-LUCE-SUR-LOIRE
1,AV,DE L AUBINIERE,44980,SAINTE-LUCE-SUR-LOIRE
58,RUE,DE POLLUX,44700,ORVAULT
81,RUE,DE BRETAGNE,44880,SAUTRON
4,RUE,DES PAPILLONS,44980,SAINTE-LUCE-SUR-LOIRE
15,RUE,DE CRIPORT,44120,VERTOU
15,RUE,DE CRIPORT,44120,VERTOU
48,RUE,DU PORT AUX MEULES,44120,VERTOU
20,RUE,DU PATIS VIAUD,44120,VERTOU
10,RUE,OLYMPE DE GOUGES,44980,SAINTE-LUCE-SUR-LOIRE
8,RUE,JEAN MOULIN,44980,SAINTE-LUCE-SUR-LOIRE
14,RUE,DES ROSEAUX,44980,SAINTE-LUCE-SUR-LOIRE
13,RUE,DU CHATEAU DE REZE,44400,REZE
5,IMP,DE LA FOLIE,44120,VERTOU
39,RUE,ALEXANDRE HUCHON,44400,REZE
2,RUE,DES ECOBUS,44240,CHAPELLE-SUR-ERDRE (LA)
18,RUE,DE LA FABRIQUE,44700,ORVAULT
4,RUE,DES GRANDS BOIS,44880,SAUTRON
5,RUE,VISONNEAU,44400,REZE
11,RUE,DE CARQUEFOU,44470,THOUARE-SUR-LOIRE
11,RUE,DE CARQUEFOU,44470,THOUARE-SUR-LOIRE
32,RUE,MARTIN LUTHER KING,44240,CHAPELLE-SUR-ERDRE (LA)
32,RUE,MARTIN LUTHER KING,44240,CHAPELLE-SUR-ERDRE (LA)
6,RUE,HERVE LE GUYADER,44240,CHAPELLE-SUR-ERDRE (LA)
2,RUE,HERVE LE GUYADER,44240,CHAPELLE-SUR-ERDRE (LA)
36,RUE,GEORGES BERTHOME,44400,REZE
9006,,MAUBREUIL,44470,CARQUEFOU
6,RUE,DU LAC,44830,BOUAYE
34,RUE,DU MOULIN SOLINE,44115,BASSE-GOULAINE
9,RUE,DES FRAMBOISIERS,44115,BASSE-GOULAINE
27,RUE,DES CHEVALIERS,44400,REZE
7,AV,DE NANTES,44470,CARQUEFOU
7,AV,DE NANTES,44470,CARQUEFOU
13,RUE,DES BOULEAUX,44400,REZE
28,RUE,DE LA MATRASSERIE,44340,BOUGUENAIS
4,RUE,FELIX,44400,REZE
16,RUE,EMILE BLANDIN,44400,REZE
16,RUE,EMILE BLANDIN,44400,REZE
18,RUE,DE BABYLONE,44840,SORINIERES (LES)
20,RUE,DU MORTRAIT,44400,REZE
1,RUE,DES JARDINS,44700,ORVAULT
3,RUE,DE LA GIGONNERIE,44830,BOUAYE
37,RUE,DE LA GARENNE,44700,ORVAULT
37,RUE,DE LA GARENNE,44700,ORVAULT
37,RUE,DE LA GARENNE,44700,ORVAULT
8,RUE,DE LA PAIX,44840,SORINIERES (LES)
10,RUE,MAUD MANNONI,44400,REZE
2,CHE,PAVE,44470,MAUVES-SUR-LOIRE
3,IMP,DES OLIVIERS,44470,CARQUEFOU
12,RUE,DE L ASCENSION,44700,ORVAULT
9,RUE,DU TENANT,44120,VERTOU
28,RUE,DE LA BOUGUINIERE,44340,BOUGUENAIS
28,BD,LE CORBUSIER,44400,REZE
42,RUE,DES SENCIVES,44340,BOUGUENAIS
21,RUE,DE BEAU SOLEIL,44340,BOUGUENAIS
5,RUE,DES OEILLETS,44700,ORVAULT
2,RUE,FRANCOISE DOLTO,44400,REZE
23,RUE,OLYMPE DE GOUGES,44400,REZE
9012,RTE,DE LA HAIE,44980,SAINTE-LUCE-SUR-LOIRE
5768,,LE BAS PONTEREAU,44470,MAUVES-SUR-LOIRE
1,IMP,DES HERMINES,44470,CARQUEFOU
17,RUE,DES VENELLES,44340,BOUGUENAIS
1,RUE,DES CAP HORNIERS,44340,BOUGUENAIS
168,RUE,MAURICE JOUAUD,44400,REZE
45,RUE,JULES VERNE,44470,CARQUEFOU
34,RUE,DU PDT COTY,44980,SAINTE-LUCE-SUR-LOIRE
7,RUE,DE LA NOE DE L EPINETTE,44120,VERTOU
1,RUE,DES AUBEPINES,44980,SAINTE-LUCE-SUR-LOIRE
1,RUE,DES AUBEPINES,44980,SAINTE-LUCE-SUR-LOIRE
98,AV,CHARLES DE GAULLE,44700,ORVAULT
98,AV,CHARLES DE GAULLE,44700,ORVAULT
38,RUE,JULES VERNE,44470,CARQUEFOU
38,RUE,JULES VERNE,44470,CARQUEFOU
21,AV,DES CEVENNES,44400,REZE
11,RUE,CLAUDE MONET,44400,REZE
21,BD,PAUL HENRI SPAAK,44400,REZE
66,RTE,DU VIGNOBLE,44120,VERTOU
1,AV,DU JURA,44400,REZE
15,RUE,DE LA BOUTEILLERIE,44120,VERTOU
45,RUE,DE LA COMMUNE DE 1871,44400,REZE
16,RUE,DE LA PAIX,44400,REZE
11,IMP,DE LA TROCARDIERE,44400,REZE
11,IMP,DE LA TROCARDIERE,44400,REZE
92,RUE,F R DE CHATEAUBRIAND,44470,CARQUEFOU
21,AV,I ET F JOLIOT CURIE,44400,REZE
45,RTE,DE NANTES,44120,VERTOU
7,RUE,DES CAMELIAS,44840,SORINIERES (LES)
1,RUE,MAURICE LAGATHU,44400,REZE
36,RUE,DU GRAND CHEMIN,44860,SAINT-AIGNAN-GRANDLIEU
17,RUE,DE L OASIS,44840,SORINIERES (LES)
19,ALL,DES TAILLIS,44980,SAINTE-LUCE-SUR-LOIRE
2,RUE,JEAN MOULIN,44980,SAINTE-LUCE-SUR-LOIRE
4,QUAI,SURCOUF,44400,REZE
7,RUE,DU GRAND TERTRE,44340,BOUGUENAIS
15,RUE,DES COUTEAUX,44400,REZE
27,RUE,DE LA MAILLARDIERE,44840,SORINIERES (LES)
5723,,LA MENORTIERE,44470,MAUVES-SUR-LOIRE
5723,,LA MENORTIERE,44470,MAUVES-SUR-LOIRE
4,RUE,DU BIGNON,44700,ORVAULT
7,RUE,DE L HOPITEAU,44700,ORVAULT
22,RUE,ANDRE GUINOISEAU,44400,REZE
22,RUE,ANDRE GUINOISEAU,44400,REZE
22,RUE,ANDRE GUINOISEAU,44400,REZE
22,RUE,ANDRE GUINOISEAU,44400,REZE
5367,RUE,DE LA GUINDONNIERE,44840,SORINIERES (LES)
550,RUE,DES BUISSONS,44470,THOUARE-SUR-LOIRE
2,IMP,DU PETIT PRINCE,44470,CARQUEFOU
9,RUE,NOTRE DAME LA BLANCHE,44470,CARQUEFOU
3,RUE,RAOUL DUFY,44240,CHAPELLE-SUR-ERDRE (LA)
6,ALL,DE LA CHAPELLE,44830,BOUAYE
nan,,LA GRANDE PIECE,44470,CARQUEFOU
51,RUE,DE MAUVES,44470,THOUARE-SUR-LOIRE
24,RUE,DES PAYS DE LA LOIRE,44840,SORINIERES (LES)
6,RUE,ANDRE FRANQUIN,44240,CHAPELLE-SUR-ERDRE (LA)
12,RUE,DU GRISON,44120,VERTOU
12,RUE,DU GRISON,44120,VERTOU
4,RUE,DU MOULIN DU BREUIL,44830,BRAINS
4,RUE,DU MOULIN DU BREUIL,44830,BRAINS
7,RUE,DE LA BUSSONNIERE,44470,THOUARE-SUR-LOIRE
12,RUE,DES  LANDETTES,44120,VERTOU
23,,HAMEAU DES GREZILLIERES,44115,BASSE-GOULAINE
26,CHE,DES ETOILES,44120,VERTOU
26,CHE,DES ETOILES,44120,VERTOU
22,RUE,AUGUSTE RENOIR,44980,SAINTE-LUCE-SUR-LOIRE
1,ALL,DE L'ISAC,44700,ORVAULT
21,RUE,DU DOUSSAIS,44880,SAUTRON
146,RUE,DE LA BAUCHE THIRAUD,44400,REZE
100,RUE,DU MOULIN A L HUILE,44400,REZE
4,PL,SAINT PIERRE,44400,REZE
11,RUE,DES MARAICHERS,44840,SORINIERES (LES)
25,RUE,DE LA TRAVIATA,44340,BOUGUENAIS
4,AV,DU BOIS MARTEAU,44120,VERTOU
174,RTE,D ORVAULT,44240,CHAPELLE-SUR-ERDRE (LA)
12,AV,MATISSE,44120,VERTOU
62,RUE,DE LA CHESNAIE,44400,REZE
3,RUE,VASSILY KANDINSKY,44400,REZE
23,RUE,DES COCCINELLES,44470,CARQUEFOU
1,CHEM,DE TOSCANE,44470,CARQUEFOU
24,RUE,EMILE BLANDIN,44400,REZE
10,RUE,DES INDES GALANTES,44340,BOUGUENAIS
68,RUE,ARISTIDE BRIAND,44400,REZE
13,RUE,CHARLES RICHET,44700,ORVAULT
111,RUE,DU MOULIN A L HUILE,44400,REZE
19,RUE,THEODORE MONOD,44400,REZE
108,BD,DU CHARBONNEAU,44470,CARQUEFOU
19,RUE,SATURNE,44700,ORVAULT
78,RUE,DU MOULIN GUIBRETEAU,44400,REZE
2,IMP,DES MATELOTS,44980,SAINTE-LUCE-SUR-LOIRE
22,RUE,DES NAUDIERES,44400,REZE
35,RUE,DES MARRONNIERS,44700,ORVAULT
6,RUE,SIMONE DE BEAUVOIR,44400,REZE
6,RUE,DES PRES VERTS,44115,BASSE-GOULAINE
27,CHE,DES PERDRIAUX,44120,VERTOU
1,ALL,DES CYPRES,44240,CHAPELLE-SUR-ERDRE (LA)
7,RUE,VINCENT VAN GOGH,44400,REZE
134,RTE,DE LA GARE,44120,VERTOU
134,RTE,DE LA GARE,44120,VERTOU
5,RUE,ALBERT SCHWEITZER,44700,ORVAULT
8,RUE,DU LANDREAU,44700,ORVAULT
6,RUE,FREDERIC CHOPIN,44700,ORVAULT
3,IMP,DU BROSSAIS,44470,CARQUEFOU
23,RUE,OLYMPE DE GOUGES,44980,SAINTE-LUCE-SUR-LOIRE
276,RTE,DE CLISSON,44120,VERTOU
19,RUE,DE L'ILE D'OLERON,44980,SAINTE-LUCE-SUR-LOIRE
23,RUE,ANDRE MAUROIS,44470,CARQUEFOU
8,RUE,DES TILLEULS,44240,CHAPELLE-SUR-ERDRE (LA)
21,RUE,GAIA,44470,CARQUEFOU
4,RUE,DE BILLIOU,44470,CARQUEFOU
8,,LE PETIT PESLE,44830,BRAINS
12,BD,AMPERE,44470,CARQUEFOU
8,AV,GUYNEMER,44400,REZE
19,AV,DE BEAUREGARD,44240,CHAPELLE-SUR-ERDRE (LA)
21,RUE,DE LA BASSE ILE,44400,REZE
21,RUE,DE LA BASSE ILE,44400,REZE
19,RUE,DU GAL DE GAULLE,44840,SORINIERES (LES)
9001,CHE,DU PRE DU BOIS,44240,CHAPELLE-SUR-ERDRE (LA)
4,RUE,SIMONE DE BEAUVOIR,44240,CHAPELLE-SUR-ERDRE (LA)
12,RUE,ARISTIDE BRIAND,44340,BOUGUENAIS
9,RUE,GEORGES CLEMENCEAU,44840,SORINIERES (LES)
1,RUE,GEORGES CLEMENCEAU,44840,SORINIERES (LES)
22,RUE,DE LA PIERRE PERCEE,44840,SORINIERES (LES)
14,RTE,DE BOUGUENAIS,44830,BOUAYE
29,RUE,JACQUES CASSARD,44470,THOUARE-SUR-LOIRE
23,AV,DES JONQUILLES,44340,BOUGUENAIS
37,HAM,DE L AUNEAU,44980,SAINTE-LUCE-SUR-LOIRE
4,RUE,DE LA CHEVALERIE,44700,ORVAULT
5,RUE,COLLARD,44700,ORVAULT
9,AV,JEAN CHAUVIN,44470,CARQUEFOU
15,RUE,DE PORNIC,44830,BOUAYE
1,RUE,DE LA NOBILIERE,44980,SAINTE-LUCE-SUR-LOIRE
12,BD,DU BOIS JACQUES,44830,BOUAYE
33,RUE,DU GRAND CHEMIN,44120,VERTOU
24,RUE,DE LA VENDEE,44115,BASSE-GOULAINE
68,RUE,DE LA MAINGUAIS,44470,CARQUEFOU
68,RUE,DE LA MAINGUAIS,44470,CARQUEFOU
68,RUE,DE LA MAINGUAIS,44470,CARQUEFOU
68,RUE,DE LA MAINGUAIS,44470,CARQUEFOU
68,RUE,DE LA MAINGUAIS,44470,CARQUEFOU
68,RUE,DE LA MAINGUAIS,44470,CARQUEFOU
9,RUE,DU PIN PARASOL,44860,SAINT-AIGNAN-GRANDLIEU
nan,,LES ISLETTES,44980,SAINTE-LUCE-SUR-LOIRE
nan,,LES ISLETTES,44980,SAINTE-LUCE-SUR-LOIRE
nan,,LES ISLETTES,44980,SAINTE-LUCE-SUR-LOIRE
nan,,LES ISLETTES,44980,SAINTE-LUCE-SUR-LOIRE
nan,,LES ISLETTES,44980,SAINTE-LUCE-SUR-LOIRE
nan,,LES ISLETTES,44980,SAINTE-LUCE-SUR-LOIRE
nan,,LES ISLETTES,44980,SAINTE-LUCE-SUR-LOIRE
nan,,LES ISLETTES,44980,SAINTE-LUCE-SUR-LOIRE
nan,,LES ISLETTES,44980,SAINTE-LUCE-SUR-LOIRE
9,RTE,DU BOIS DORE,44860,SAINT-AIGNAN-GRANDLIEU
35,RTE,DU TOUR,44830,BOUAYE
35,RTE,DU TOUR,44830,BOUAYE
23,RUE,ANDRE GUINOISEAU,44400,REZE
33,RUE,AUGUSTIN MOUILLE,44400,REZE
15,RUE,DES INDES GALANTES,44340,BOUGUENAIS
5,RUE,MERCATOR,44700,ORVAULT
19,RUE,ML LECLERC DE HAUTECLOCQUE,44240,CHAPELLE-SUR-ERDRE (LA)
20,RUE,ANDRE GUINOISEAU,44400,REZE
59,RUE,DU PORT AUX MEULES,44120,VERTOU
13,RUE,SEVERINE,44400,REZE
34,RUE,VICTOR FORTUN,44400,REZE
40,RUE,DES IFS,44240,CHAPELLE-SUR-ERDRE (LA)
9,RUE,DE LA MARE CANET,44830,BOUAYE
13,AV,DES CAMELIAS,44400,REZE
9,RUE,DUGUAY TROUIN,44470,THOUARE-SUR-LOIRE
27,CHE,DES PERDRIAUX,44120,VERTOU
7,RUE,DU PATIS,44880,SAUTRON
2,IMP,DE LA FOSSE POELON,44400,REZE
60,BD,PASTEUR,44980,SAINTE-LUCE-SUR-LOIRE
9,RUE,DE LA DAVITERIE,44120,VERTOU
3,RUE,DU GUE,44120,VERTOU
78,RUE,AUGUSTE GARNIER,44120,VERTOU
16,BD,AMPERE,44470,CARQUEFOU
40,RUE,JEAN ROSTAND,44830,BOUAYE
10,RUE,DU PRESSOIR,44860,SAINT-AIGNAN-GRANDLIEU
9,RUE,DE LA HAIE,44240,CHAPELLE-SUR-ERDRE (LA)
98,RUE,DE MAUVES,44470,THOUARE-SUR-LOIRE
98,RUE,DE MAUVES,44470,THOUARE-SUR-LOIRE
13,RUE,DE BELLEVUE,44470,THOUARE-SUR-LOIRE
5,RUE,SATURNE,44700,ORVAULT
2,RUE,NICOLAS COPERNIC,44470,CARQUEFOU
97,RUE,JEAN FRAIX,44400,REZE
17,RUE,DE CHAMPAGNE,44700,ORVAULT
3,IMP,DES PLANTES,44700,ORVAULT
2,RUE,DU PRIEURE,44340,BOUGUENAIS
120,RUE,DES COUPRIES,44115,BASSE-GOULAINE
4,RUE,DU BOIS D ARGENT,44880,SAUTRON
4,RUE,DU BOIS D ARGENT,44880,SAUTRON
22,RUE,DES IFS,44240,CHAPELLE-SUR-ERDRE (LA)
22,RUE,DES IFS,44240,CHAPELLE-SUR-ERDRE (LA)
1,RUE,DE LA PIERRE PERCEE,44120,VERTOU
14,AV,MELPOMENE,44470,CARQUEFOU
14,AV,MELPOMENE,44470,CARQUEFOU
116,BD,DE L EUROPE,44120,VERTOU
1,SQ,EMILE BLANDIN,44400,REZE
9,RUE,LEON JOST,44340,BOUGUENAIS
26,RUE,SEVERINE,44400,REZE
17,RUE,DE LA HAUTE CLAIRIERE,44340,BOUGUENAIS
27,RUE,COMMUNE DE PARIS 1871,44340,BOUGUENAIS
14,RUE,URANUS,44700,ORVAULT
44,RUE,DE BELLEVUE,44470,THOUARE-SUR-LOIRE
19,RUE,OCTAVE ROUSSEAU,44400,REZE
35,RUE,DES PAYS DE LA LOIRE,44840,SORINIERES (LES)
1,AV,FRAGONARD,44470,CARQUEFOU
13,AV,DE BEAUREGARD,44240,CHAPELLE-SUR-ERDRE (LA)
8,ALL,DES VENDANGEURS,44700,ORVAULT
12,RUE,BONNETABLE,44700,ORVAULT
12,RUE,BONNETABLE,44700,ORVAULT
18,RUE,DU LANDREAU,44700,ORVAULT
105,RUE,JEAN BAPTISTE VIGIER,44400,REZE
6,IMP,MADAME CURIE,44400,REZE
5168,,LA DAVIERE,44470,MAUVES-SUR-LOIRE
6,RUE,DE L'ILE D'YEU,44980,SAINTE-LUCE-SUR-LOIRE
147,RTE,DE LA GARE,44120,VERTOU
147,RTE,DE LA GARE,44120,VERTOU
2,RUE,DU PUITS,44120,VERTOU
151,RTE,DE LA GARE,44120,VERTOU
151,RTE,DE LA GARE,44120,VERTOU
4,IMP,DE L ETIER,44340,BOUGUENAIS
93,RUE,DU CHATEAU D EAU,44240,CHAPELLE-SUR-ERDRE (LA)
17,RUE,LANOUE BRAS DE FER,44240,CHAPELLE-SUR-ERDRE (LA)
12,RUE,DES INDES GALANTES,44340,BOUGUENAIS
44,RUE,DU JURA,44840,SORINIERES (LES)
21,AV,DES PEUPLIERS,44340,BOUGUENAIS
9,RUE,DES PAPILLONS,44840,SORINIERES (LES)
16,RUE,DU CIMETIERE,44340,BOUGUENAIS
8,RUE,DES BAUCHES,44120,VERTOU
22,BD,AMPERE,44470,CARQUEFOU
60,RUE,DE LA COUILLAUDERIE,44340,BOUGUENAIS
21,RTE,DES SABLONS,44830,BOUAYE
21,RTE,DES SABLONS,44830,BOUAYE
2,AV,ANNE CLAUDE GODEAU,44340,BOUGUENAIS
1,RTE,DE BOUGUENAIS,44830,BOUAYE
8,RUE,DE L'ILE AUX MOINES,44980,SAINTE-LUCE-SUR-LOIRE
35,RUE,DE L ASILE,44120,VERTOU
5135,,LA BORDERIE,44470,MAUVES-SUR-LOIRE
5135,,LA BORDERIE,44470,MAUVES-SUR-LOIRE
10,RUE,DE LA GRANGE,44700,ORVAULT
nan,,LA CHARMELIERE,44470,CARQUEFOU
2,AV,EUGENE POTTIER,44400,REZE
6,RUE,ANNE-CLAUDE GODEAU,44980,SAINTE-LUCE-SUR-LOIRE
17,ALL,RACINE,44470,CARQUEFOU
53,RUE,DES VALLEES,44115,BASSE-GOULAINE
8,RUE,DE LA CHESNAIE,44400,REZE
5001,,BEL ABORD,44880,SAUTRON
5001,,BEL ABORD,44880,SAUTRON
6,CHE,DE LA PIOGERIE,44830,BOUAYE
4,PL,SAINT EXUPERY,44980,SAINTE-LUCE-SUR-LOIRE
6,ALL,DE L'OSMONDE,44240,CHAPELLE-SUR-ERDRE (LA)
13,RUE,DE L'ILE D'OLERON,44980,SAINTE-LUCE-SUR-LOIRE
149,RTE,DE LA GARE,44120,VERTOU
27,RUE,DE LA GAROUERE,44120,VERTOU
27,RUE,DE LA GAROUERE,44120,VERTOU
8,AV,TANGUY BREGEON,44400,REZE
23,RUE,DE LA GRAMMOIRE,44120,VERTOU
41,RUE,DE L ATLANTIQUE,44470,CARQUEFOU
41,RUE,DE L ATLANTIQUE,44470,CARQUEFOU
1,CHE,DU BOURBON,44240,CHAPELLE-SUR-ERDRE (LA)
3,RTE,DE NANTES,44700,ORVAULT
5298,,LA GARELIERE,44830,BOUAYE
5298,,LA GARELIERE,44830,BOUAYE
8,RUE,DU MARCHAS,44120,VERTOU
5134,,LA BORDERIE,44470,MAUVES-SUR-LOIRE
24,RUE,DE LA BLORDIERE,44400,REZE
15,RUE,DE LA TRAVIATA,44340,BOUGUENAIS
10,RUE,DU PLESSIS MAILLARD,44980,SAINTE-LUCE-SUR-LOIRE
20,RUE,DES PUISATIERS,44880,SAUTRON
22,RUE,DES MARGUERITES,44700,ORVAULT
5,RUE,GALILEE,44470,CARQUEFOU
9,AV,DES FLANDRES,44120,VERTOU
10,RUE,DES CHAMPS RENAUDINS,44400,REZE
16,RUE,GENEVIEVE DE GAULLE,44400,REZE
9001,,TOURNEUVE,44700,ORVAULT
9001,,TOURNEUVE,44700,ORVAULT
33,RUE,ROBERT LE RICOLAIS,44700,ORVAULT
7,AV,DE FLORIGNY,44470,CARQUEFOU
34,RUE,ARISTIDE BRIAND,44400,REZE
6,RUE,DE LA VILLE AU BLANC,44120,VERTOU
17,RUE,DE LA MARGOTTIERE,44120,VERTOU
32,RUE,DU CHATEAU D EAU,44400,REZE
15,RUE,MAZUREAU,44400,REZE
16,RUE,DES PONTS,44470,THOUARE-SUR-LOIRE
73,RUE,DE L ILETTE,44840,SORINIERES (LES)
36,RUE,JEAN ROSTAND,44830,BOUAYE
63,RUE,EMILE BLANDIN,44400,REZE
19,RTE,DE THOUARE,44980,SAINTE-LUCE-SUR-LOIRE
19,RTE,DE THOUARE,44980,SAINTE-LUCE-SUR-LOIRE
1,RUE,DES STERNES,44840,SORINIERES (LES)
4,RUE,ANDRE FRANQUIN,44240,CHAPELLE-SUR-ERDRE (LA)
25,RUE,LUCIE AUBRAC,44840,SORINIERES (LES)
33,RUE,LUCIE AUBRAC,44840,SORINIERES (LES)
25,RUE,JULES VERNE,44470,CARQUEFOU
25,RUE,JULES VERNE,44470,CARQUEFOU
13,CHE,BLEU,44400,REZE
46,ALL,DES MESANGES,44880,SAUTRON
54,ALL,DES MESANGES,44880,SAUTRON
6,RUE,DE LA BASSE ILE,44400,REZE
28,RUE,MAURICE UTRILLO,44400,REZE
15,RUE,DU MOULIN DES LANDES,44840,SORINIERES (LES)
15,RUE,DU MOULIN DES LANDES,44840,SORINIERES (LES)
9,RUE,DE LA CLEMENCIERE,44470,THOUARE-SUR-LOIRE
14,RUE,AUGUSTIN MOUILLE,44400,REZE
85,AV,DE LA PATOUILLERIE,44700,ORVAULT
